GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):,Margin of Error; Aggregate travel time to work (in minutes):,Estimate; Aggregate travel time to work (in minutes): - Male,Margin of Error; Aggregate travel time to work (in minutes): - Male,Estimate; Aggregate travel time to work (in minutes): - Female,Margin of Error; Aggregate travel time to work (in minutes): - Female
0400000US01,01,Alabama,47456660,544718,26604605,460288,20852055,343567
0400000US02,02,Alaska,6319460,219012,3830275,170167,2489180,108882
0400000US04,04,Arizona,65280415,735642,36837800,549063,28442615,410586
0400000US05,05,Arkansas,26229990,451185,14974190,376649,11255805,254232
0400000US06,06,California,459439550,1834969,265297220,1354998,194142335,1130943
0400000US08,08,Colorado,63045350,626856,36470965,426998,26574385,431010
0400000US09,09,Connecticut,42697465,466054,23541855,375496,19155610,325970
0400000US10,10,Delaware,10226665,278771,5394605,200179,4832060,186995
0400000US11,11,District of Columbia,9552965,269966,4536040,193472,5016925,178634
0400000US12,12,Florida,216025740,1236404,118573915,886089,97451825,799613
0400000US13,13,Georgia,115935570,1097786,64012095,883532,51923475,685426
0400000US15,15,Hawaii,18289095,395835,9744620,247613,8544475,262795
0400000US16,16,Idaho,13618580,334913,7973625,223549,5644955,217501
0400000US17,17,Illinois,165482995,1158241,91022220,877609,74460775,764854
0400000US18,18,Indiana,68179565,632257,38245945,509052,29933620,368898
0400000US19,19,Iowa,28078535,360151,15576780,312725,12501755,189658
0400000US20,20,Kansas,25650110,350926,14677130,270386,10972980,205072
0400000US21,21,Kentucky,41715440,534164,23557140,375562,18158300,310304
0400000US22,22,Louisiana,49071405,748411,29056075,612285,20015330,360883
0400000US23,23,Maine,14265690,332090,7878030,249992,6387660,179230
0400000US24,24,Maryland,91665770,843209,49045555,655139,42620215,456802
0400000US25,25,Massachusetts,93076345,776780,49653255,567804,43423090,527767
0400000US26,26,Michigan,102082790,767153,56842135,649936,45240655,475034
0400000US27,27,Minnesota,62337960,497205,34026570,369072,28311390,327915
0400000US28,28,Mississippi,28331805,546921,16156865,466352,12174940,292120
0400000US29,29,Missouri,61091775,666704,33154555,411103,27937220,447410
0400000US30,30,Montana,8111265,215009,4596870,147523,3514395,133784
0400000US31,31,Nebraska,17075470,272468,9394820,205874,7680650,149947
0400000US32,32,Nevada,29445365,478714,16655420,321633,12789940,308047
0400000US33,33,New Hampshire,17429785,372555,9892720,299852,7537065,217451
0400000US34,34,New Jersey,127574930,1101531,72562800,725623,55012130,563247
0400000US35,35,New Mexico,18086770,370872,10261510,312566,7825255,212255
0400000US36,36,New York,286747385,1431292,153310745,1063438,133436640,971441
0400000US37,37,North Carolina,100726790,846574,55724850,559441,45001945,575050
0400000US38,38,North Dakota,6475935,210772,3848245,174118,2627690,107153
0400000US39,39,Ohio,119246815,868657,65733645,675722,53513170,519130
0400000US40,40,Oklahoma,35386940,411234,20487145,321435,14899795,232403
0400000US41,41,Oregon,38563720,551251,21615275,438505,16948440,370041
0400000US42,42,Pennsylvania,150136475,1098684,83021080,812952,67115395,639951
0400000US44,44,Rhode Island,11669170,280030,6445485,199345,5223680,162115
0400000US45,45,South Carolina,49285560,597583,27068335,452902,22217225,408416
0400000US46,46,South Dakota,6854915,205564,3715640,142249,3139275,114003
0400000US47,47,Tennessee,67532795,800241,37175875,584843,30356920,415662
0400000US48,48,Texas,302170695,1627585,177458540,1157396,124712155,1059516
0400000US49,49,Utah,27508230,381574,16906235,299172,10601995,214131
0400000US50,50,Vermont,6510925,183611,3422365,114456,3088565,112839
0400000US51,51,Virginia,109246685,914805,61394420,697591,47852265,572000
0400000US53,53,Washington,83764480,786238,48437935,598462,35326545,451489
0400000US54,54,West Virginia,18360730,362744,10995365,295286,7365365,235569
0400000US55,55,Wisconsin,60399470,485925,32960955,358685,27438515,329276
0400000US56,56,Wyoming,5277170,210554,3324890,166066,1952285,128252
0400000US72,72,Puerto Rico,29169875,505002,15555825,368867,13614050,345619
